title,text
Getting More Out of Feature Engineering and Tuning for Machine Learning,"## Session Title: Getting More Out of Feature Engineering and Tuning for Machine Learning

**Speakers:** 
Max Kuhn , Principal Software Engineer, Posit  
  
Emil Hvitfeldt , Software Engineer, Posit PBC

**Time:** Tuesday, Sep 169:00 AM - 5:00 PM EDT  
**Location:** Regency VII

**Session Info:**  
In this workshop, you will learn more advanced methods for building better models.  
  
Feature engineering is a method of representing your data in a way that makes the model work best. We’ll talk about how to use recipes to engineer features and a few specific methods, such as splines for nonlinear features and effect encodings for high cardinality predictors. We’ll also show how to optimize model performance by choosing the best tuning parameters. The focus is on grid search and hyper-efficient racing methods. Time permitting, we’ll also discuss the simultaneous evaluation of many combinations of pre-processors, models, and post-processors using workflow sets.  
  
This course is focused on the analysis of tabular data and does not include deep learning methods.  
  
"
Introduction to machine learning in R with tidymodels,"## Session Title: Introduction to machine learning in R with tidymodels

**Speakers:** 
Hannah Frick , Senior Software Engineer, Posit  
  
Simon P. Couch , Software Engineer, Posit, PBC

**Time:** Tuesday, Sep 169:00 AM - 5:00 PM EDT  
**Location:** Regency V

**Session Info:**  
This workshop will teach you the fundamentals of predictive modeling with core tidymodels packages: data splitting/resampling with rsample, model fitting with parsnip, measuring model performance with yardstick, and model optimization using the tune package. Time permitting, you'll be introduced to basic pre-processing with recipes.  
  
In this workshop, you'll learn the process of predictive modeling for tabular data and tidymodels syntax to put it into practice.  
  
"
Machine learning with scikit-learn in Python,"## Session Title: Machine learning with scikit-learn in Python

**Speakers:** 
Tiffany Timbers , Associate Professor of Teaching, University of British Columbia  
  
Katie Burak , Assistant Professor of Teaching, University of British Columbia

**Time:** Tuesday, Sep 169:00 AM - 5:00 PM EDT  
**Location:** Hanover FG

**Session Info:**  
This workshop will teach you how to perform machine learning for prediction in Python using the widely-used Scikit-learn learn package. You will be introduced to best practices for machine learning model creation and selection, including data splitting, pre-processing, parameter and model optimization, as well as results visualization and communication. Workshop examples will begin with simple, intuitive models (e.g., K-nearest neighbors, linear regression) but also demonstrate the use of more commonly used and industry standard models (e.g., ensemble methods such as random forest and boosting). The workshop will focus on demonstrating how to do this using the modern Scikit-learn pipeline syntax."
Mastering Data Visualization with ggplot2: Latest Techniques and Best Practices,"## Session Title: Mastering Data Visualization with ggplot2: Latest Techniques and Best Practices

**Speakers:** 
Thomas Lin Pedersen , Software Engineer, Posit  
  
Teun Van den Brand , Posit

**Time:** Tuesday, Sep 169:00 AM - 5:00 PM EDT  
**Location:** Hanover AB

**Session Info:**  
This workshop will explore the cutting-edge advancements and best practices in data visualization using ggplot2. This workshop is designed for data enthusiasts, analysts, and researchers who are eager to elevate their visual data storytelling skills. This workshop will be relevant to both ggplot2 users as well as package authors that somehow extend ggplot2 in their packages.  
  
Throughout the day, participants will:  
  
Discover the Latest Features: ggplot2 and its ecosystem is ever-evolving. We will cover all the new features of ggplot2 itself and highlight key features from important extension packages, so you can rest assured that no new features have escaped your attention.  
Advanced Customization Techniques: Dive deep into how to manage and control the looks of your visualisation in order to create visually stunning and informative plots.  
Understand text and fonts: Text is an indispensable part of data visualisation, yet rendering of it, especially when using custom fonts, is somewhat mysterious. Learn exactly what is going on so you can be confident in using text to the fullest  
Multifigure Plot Compositions: Utilize the latest features of patchwork to create complex plot layouts, including native support for gt tables and improved handling of plot components across multiple grid cells.  
  
By the end of this workshop, you'll have a comprehensive understanding of the latest tools and techniques in ggplot2, empowering you to create compelling and insightful data visualizations. Whether you're a user or a package developer, this workshop will provide valuable insights and skills to enhance your data visualization toolkit.  
  
"
Modern Data Platforms with Posit for R & Python Users,"## Session Title: Modern Data Platforms with Posit for R & Python Users

**Speakers:** 
James Blair , Posit

**Time:** Tuesday, Sep 169:00 AM - 5:00 PM EDT  
**Location:** Dunwoody

**Session Info:**  
As organizations increasingly rely on scalable cloud and database solutions, data practitioners must seamlessly integrate R and Python workflows with modern data platforms. This hands-on workshop will teach participants how to leverage Posit’s suite of open-source and commercial tools to efficiently connect, analyze, and deploy insights using Snowflake, Databricks, and DuckDB.  
  
Through practical examples and live coding, attendees will learn:  
How to integrate R and Python with Snowflake, Databricks, and DuckDB for seamless data access and transformation.  
Best practices for querying, transforming, and analyzing data, along with strategies for optimizing performance and scalability in data-intensive applications.  
How to streamline development and deployment using Posit Workbench, Connect, and Package Manager with these data platforms.  
How to leverage GenAI models provided by modern data platforms to enhance data workflows and insights.  
  
This workshop is designed for data scientists, analysts, and engineers using R or Python who want to enhance their workflows with cloud and database platforms. By the end of this workshop, participants will have a solid foundation in using Posit tools to work with enterprise-scale data solutions—empowering them to build, share, and deploy insights faster."
Package Development: The Rest of the Owl,"## Session Title: Package Development: The Rest of the Owl

**Speakers:** 
Jenny Bryan , Software engineer, Posit

**Time:** Tuesday, Sep 169:00 AM - 5:00 PM EDT  
**Location:** Hanover C

**Session Info:**  
In R, the fundamental unit of reusable and shareable code is a package containing helpful functions, documentation, and sometimes sample data. Putting R code in a package is the best way to share our code with others or to share code across different projects.  
  
This workshop assumes you've already dipped your toe in package development, i.e. that you've managed to create a basic package and pass `R CMD check`. In terms of ""How to draw an owl"", you've definitely drawn some circles.  
  
But now it's time to draw therest of the owl!  
  
You will learn workflows and skills that are (a) very important for package development and (b) very different from writing R scripts. We will lean heavily on the tools and principles used by the tidyverse team, embodied in the devtools family of packages, including usethis, testthat, and roxygen2.  
  
This list of topics is indicative of what we will cover:  
Fundamental daily workflows: `devtools::load_all()` and `check()`  
Self-help: the power of GitHub code search and small experiments  
Testing: the testthat package and the philosophy of writing tests as you go (vs. ""later"")  
Documentation: function documentation, vignettes, and website  
Data: internal data vs. data available to your user  
GitHub Actions for automatically checking your package and building/deploying a pkgdown website  
User interface: how to provide beautiful, informative messages with the cli package  
There will be chunks of time for you to do exercises throughout the day.  
We will make sure there are good options that allow all participants to engage with the material.  
But if you have your own package(s), you are welcome to use these times to apply what we're learning, e.g., about testing or documentation, in your personal packages.  
  
This will be an interactive 1-day workshop, and we will use the RStudio IDE to work through the materials.  
  
This course is for you if you:  
Are very comfortable writing R scripts and functions.  
Have already created a basic package, e.g., you've successfully worked through The Whole Game chapter from R Packages or have equivalent experience. You should also be able to follow the story in The package within chapter.  
Have concrete plans for one or more specific packages you want to create. You might have even started implementing these plans.  
Are interested in using devtools + Positron for package development.  
Are at least curious about Git/GitHub. We won't have time to teach this explicitly, but you will certainly see Git/GitHub throughout the day.  
We expect most participants will have more package development experience than the minimum described above.  
We typically see a real mix of backgrounds in workshops such as this.  
Participants at either extreme (very new or very experienced) should anticipate hearing questions and discussion aimed at the other end of the experience spectrum, and that's OK.  
  
"
Programming with LLM APIs: A Beginner’s Guide in R and Python,"## Session Title: Programming with LLM APIs: A Beginner’s Guide in R and Python

**Speakers:** 
Joe Cheng , Posit  
  
Garrick Aden-Buie , Posit

**Time:** Tuesday, Sep 169:00 AM - 5:00 PM EDT  
**Location:** Regency VI

**Session Info:**  
Large Language Models (LLMs) open up a world of programmatic possibilities, giving developers easy access to capabilities that would have seemed like science fiction only a few years ago. But for many, the idea of integrating LLM APIs into their workflows feels daunting. This workshop is here to show you otherwise.  
  
We’ll introduce you to elmer (R) and chatlas (Python), two user-friendly packages developed by Posit that make calling LLMs from code surprisingly straightforward. These tools handle the complexities of conversation history, tool calling, vision support, and more, so you can focus on experimentation and creativity. They also integrate nicely with Shiny for R and Python, where you can easily create chat interfaces or build custom web apps around LLM workflows.  
  
Along the way, we’ll explore system prompt design, token management, tool calling, and structured output, all while building familiarity with the various models and vendors that are shaping the AI landscape today.  
  
You’ll discover that:  
Calling LLMs from code unlocks new possibilities that go far beyond what’s achievable with off-the-shelf tools like ChatGPT.  
It’s easier than you think—no advanced AI background required.  
It’s incredibly fun and rewarding to bring your own ideas to life.  
This workshop is perfect for those curious about AI but unsure where to start, as well as for seasoned developers looking to learn about Posit’s new tools. We’ll also touch on more advanced topics like fine-tuning and Retrieval-Augmented Generation (RAG). You’ll get hands-on experience with guided projects or with the flexibility to explore using your own projects.  
  
If you’ve been sitting on the fence, wondering whether LLMs are worth diving into, this workshop will give you the hands-on experience and confidence you need to get started.  
  
"
R in Production,"## Session Title: R in Production

**Speakers:** 
Hadley Wickham , Posit

**Time:** Tuesday, Sep 169:00 AM - 5:00 PM EDT  
**Location:** Centennial I

**Session Info:**  
What it means to put R in production varies tremendously from organization to organization. However, I believe that there are common principles that you can learn to improve your code, regardless of the precise details of what production means for your organization.  
  
This workshop is organized around three big differences between running a local script on your computer and putting your code into production:  
Not just once: production code isn’t a one-off script; it runs repeatedly and needs to run reliably even as the environment around it (e.g., R package versions and input data) changes. How can you ensure that code continues to run reliably months and years after you wrote it, and when there’s a problem, it clearly reports on it?  
Not just your computer: production code doesn’t run on your computer. It typically runs on some other server where you can’t interactively experiment. This poses particular challenges for authentication and debugging.  
Not just you: the responsibility for production code is typically shared across a team. How can you ensure that you’re all working together as effectively as possible, sharing code and best practices, and improving at your job over time?  
  
This course is for you if you:  
Get frustrated debugging R code that’s running on another computer.  
Struggle to keep your code running reliably as packages and data change over time.  
Want to improve the quality of your production code generally.  
  
"
Shiny for Python,"## Session Title: Shiny for Python

**Speakers:** 
Daniel Chen , Posit

**Time:** Tuesday, Sep 169:00 AM - 5:00 PM EDT  
**Location:** Embassy C

**Session Info:**  
Shiny is a framework for building web applications and data dashboards in Python. In this one-day intermediary workshop, you will see how the basic building blocks of Shiny can be extended to create your own scalable, production-ready Python applications.  
  
In particular, this workshop covers:  
Overview of the basic building blocks of a Shiny for Python application  
How to refactor applications into shiny modules  
How to write tests for your shiny application  
  
At the end of this workshop, you will be able to:  
Build a Shiny app in Python  
Refactor your reactive logic into Shiny Modules  
Identify when to write Shiny modules  
Write unit tests and end-to-end tests for your shiny application  
  
1. What if I'm a complete beginner?  
  
You should have a basic understanding of Python and be able to install packages with pip, do basic data manipulation, and draw plots.  
  
2. What if I've never built a Shiny app before?  
  
This workshop doesn’t require any Shiny or web application experience. We'll focus more on practical examples in the course. We do have additional resources for you to dive more into more Shiny details, but we will cover the basics needed to build larger and scalable applications.  
  
3. Why should I learn Shiny if I already know Streamlit or Dash?  
  
We believe that Shiny is the best framework for building data applications in Python. Its reactive execution model means that you can build performant applications without explicitly caching data or managing the application state. Seethis blog postfor more on why we think that Shiny is worth learning.  
  
4. I’m an expert with Shiny for R, is this workshop for me?  
  
The R and Python Shiny packages are similar, so some of the content in this workshop may be familiar to you. That said, it’s a great opportunity to fill in missing pieces and ask questions about Python best practices. We will also talk about Shiny modules and testing in this workshop, which will also be a precursor for you to learn more about Python Packaging. If you are interested in learning more about Python, this workshop would be a great practical way to learn how to code in Python. Check out ourquickstart guide for R usersandthis tutorialif you want to get up to speed with Shiny for Python quickly."
Shiny for R,"## Session Title: Shiny for R

**Speakers:** 
Colin Rundel , Associate Professor of the Practice, Duke University

**Time:** Tuesday, Sep 169:00 AM - 5:00 PM EDT  
**Location:** Courtland

**Session Info:**  
Shiny is an R package that makes it easy to build interactive web apps straight from R. This workshop will start at the beginning: designing and implementing user interfaces, learning and understanding the reactive programming model, and deploying your Shiny apps publicly and privately. This year, we will also introduce the use of the bslib package to modernize your apps' layouts and components. The workshop will also include several intermediate-level topics like debugging and modularizing your apps and implementing dynamic user interfaces. In the end, attendees should be confident Shiny users, able to design interactive apps to achieve their purpose and produce a polished and professional implementation.  
  
"
Welcome Reception,"## Session Title: Welcome Reception

**Speakers:** 
TBA

**Time:** Tuesday, Sep 165:00 PM - 7:00 PM EDT  
**Location:** LL2 - Pre-function area

**Session Info:**  
Session details will be released soon, stay tuned!"
Keynote Session,"## Session Title: Keynote Session

**Speakers:** 
Jonathan McPherson , Software Architect, Posit Software, PBC

**Time:** Wednesday, Sep 179:00 AM - 10:00 AM EDT  
**Location:** Centennial Ballroom

**Session Info:**  
Stay tuned, more details to come soon!"
LLMs with R and Python,"## Session Title: LLMs with R and Python

**Speakers:** 
Rebecca Barter , Research Assistant Professor, University of Utah  
  
Regis A. James , Regeneron Pharmaceuticals  
  
Simon P. Couch , Software Engineer, Posit, PBC  
  
Timothy Keyes , Data Scientist, Stanford Health Care

**Time:** Wednesday, Sep 1710:20 AM - 11:40 AM EDT  
**Location:** Regency VI

**Session Info:**  
There are 4 talks in this session.  
  
AI Coding Assistants: Hype, Help, or Hindrance?  
AskRADS: An AI Recommendation Agent for Maximizing the ROI of Data Science Collaborations  
Is that LLM feature any good?  
Trust, but Verify: Lessons from Deploying LLMs in a Large Health System  
 "
Pedagogy as Software,"## Session Title: Pedagogy as Software

**Speakers:** 
Claus Wilke , Professor, The University of Texas at Austin  
  
Kene David Nwosu , Curriculum Director, TheGraphCourses.org  
  
Ted Laderas  
  
Mine Cetinkaya-Rundel , Professor + Developer Educator, Posit

**Time:** Wednesday, Sep 1710:20 AM - 11:40 AM EDT  
**Location:** Regency V

**Session Info:**  
There are 4 talks in this session.  
  
Teaching data visualization with R entirely in Quarto  
ChalkTalk: Globalizing Data Science Education with AI-generated Videos  
Empowering Learners with WebR, Pyodide, and Quarto  
Leveraging LLMs for student feedback in introductory data science courses  
 "
Positron,"## Session Title: Positron

**Speakers:** 
Austin Dickey , Senior Software Engineer, Posit, PBC  
  
Wes McKinney , Principal Architect, Posit  
  
Melissa Barca , Senior Software Engineer, Posit, PBC.  
  
Sharon Wang , Senior Software Engineer, Posit  
  
Isabel Zimmerman

**Time:** Wednesday, Sep 1710:20 AM - 11:40 AM EDT  
**Location:** Centennial I

**Session Info:**  
There are 4 talks in this session.  
  
Outgrowing Your Laptop with Positron  
Exploring Datasets in Positron  
Tips & tricks from the maintainers of Positron  
IDE-ntity Crisis: Choosing the Right Tool for Me  
 "
Shiny for Humans,"## Session Title: Shiny for Humans

**Speakers:** 
Kim Schouten , Data scientist, Nederlandse Zorgautoriteit (Dutch Healthcare Authority)  
  
Cameron Race , Lead Product Manager and Statistician, Department for Education (UK)  
  
Sarah Wong-Brown , Head of Statistics Development and Flexible Analysis, UK Civil Service (HMRC)  
  
Jeremy Winget, PhD , Full Stack Developer, SKIM  
  
Milena Eickhoff , Web & R Shiny Developer  
  
Casey Aguilar-Gervase , Senior Developer, Atorus Research  
  
Maya Gans , Associate Director, Atorus Research

**Time:** Wednesday, Sep 1710:20 AM - 11:40 AM EDT  
**Location:** Regency VII

**Session Info:**  
There are 4 talks in this session.  
  
Modular, layout-as-code approach for customizable Shiny dashboards  
shinyGovStyle - accessible government design in RShiny  
Death by Dropdown? How to Build Shiny Apps That Guide—Not Overwhelm—Your Users  
Design of Everyday Shiny Apps"
Lunch,"## Session Title: Lunch

**Speakers:** 
TBA

**Time:** Wednesday, Sep 1711:40 AM - 1:00 PM EDT  
**Location:** TBD

**Session Info:**  
Join your fellow posit::conf attendees for a networking lunch!"
Get the Latest on Posit's Commercial Products,"## Session Title: Get the Latest on Posit's Commercial Products

**Speakers:** 
Kelly O'Briant  
  
Tom Mock , Posit  
  
Joe Roberts , Product Manager, Posit  
  
Kara Woo , Senior Software Engineer, Posit  
  
Alex Chisholm , Posit  
  
Chetan Thapar , Posit  
  
Steve Nolen , Engineering Manager, Posit

**Time:** Wednesday, Sep 171:00 PM - 2:20 PM EDT  
**Location:** Centennial I

**Session Info:**  
Join us for an overview of the latest developments across Posit’s commercial product ecosystem. This session will cover Posit Workbench, Package Manager, Connect, Connect Cloud, and our growing portfolio of managed services including Snowflake and beyond. Hear directly from the product managers and engineers who are building these tools, and get insights into what’s coming next."
Learning by Doing,"## Session Title: Learning by Doing

**Speakers:** 
Ryan Johnson , Data Science Advisor, Posit, PBC  
  
Kelly McConville , Associate Professor/Director, Bucknell University  
  
Allissa Dillman , Founder/CEO, BioData Sage  
  
Kristin Bott , Manager, Data Science Mentors, Posit Academy, Posit, PBC

**Time:** Wednesday, Sep 171:00 PM - 2:20 PM EDT  
**Location:** Regency V

**Session Info:**  
There are 4 talks in this session.  
  
Positron for Babies  
Teaching Data Sharing through R Data Packages  
From Solo to Social: Making Coding a Collaborative Adventure  
On teaching adults to code  
 "
